run,algo_name,sample_cost_fixed,label_cost_fixed,eps,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.25,97.29030020420045,LR,full_data,940.5,444.0,0.32704307311647685,0.3586523967440458,4752,1,1
1,exp,0,1,0.25,97.29030020420045,LR,full_data,0,1700,0.32248484736824384,0.3586523967440458,4654,1,1
1,exp,0.5,1,0.25,97.29030020420045,LR,full_data,835.0,1568,0.3246045947333061,0.3586523967440458,4834,1,1
1,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,977.5,465.5,0.32472419126208296,0.3586523967440458,17289,1,1
1,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1955,0.32539294632733684,0.3586523967440458,19165,1,1
1,exp,0.5,1,0.1,97.29030020420045,LR,full_data,888.5,1683,0.32646276709959987,0.3586523967440458,18109,1,1
1,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,966.0,459.0,0.4421206121756853,0.3586523967440458,18235,0,0
1,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1705,0.32439180471877144,0.3586523967440458,18818,0,0
1,exp,0.5,1,0.1,97.29030020420045,LR,full_data,953.5,1817,0.32455357653787564,0.3586523967440458,18045,0,0
1,exp,0.5,0.25,0.05,97.29030020420045,LR,full_data,903.0,428.0,0.319441404202712,0.3586523967440458,18891,0,0
1,exp,0,1,0.05,97.29030020420045,LR,full_data,0,1745,0.3252309028511649,0.3586523967440458,18536,0,0
1,exp,0.5,1,0.05,97.29030020420045,LR,full_data,908.0,1706,0.32633083489577663,0.3586523967440458,18297,0,0
1,exp,0.5,0.25,0.01,97.29030020420045,LR,full_data,938.0,443.5,0.3249603286348385,0.3586523967440458,18643,0,0
1,exp,0,1,0.01,97.29030020420045,LR,full_data,0,1900,0.3231139963641023,0.3586523967440458,17756,0,0
1,exp,0.5,1,0.01,97.29030020420045,LR,full_data,1025.5,1947,0.32552860326614086,0.3586523967440458,18226,0,0
2,exp,0.5,0.25,0.25,97.29030020420045,LR,full_data,894.0,421.5,0.3213361422033191,0.3592059256532941,4363,1,1
2,exp,0,1,0.25,97.29030020420045,LR,full_data,0,1763,0.3217146620417053,0.3592059256532941,4604,1,1
2,exp,0.5,1,0.25,97.29030020420045,LR,full_data,1021.5,1924,0.3914812883458374,0.3592059256532941,4550,1,1
2,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,996.5,474.5,0.6322753938255239,0.3592059256532941,18272,1,0
2,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1851,0.3208957095374843,0.3592059256532941,18392,1,1
2,exp,0.5,1,0.1,97.29030020420045,LR,full_data,928.0,1755,0.3205597907856647,0.3592059256532941,19209,1,1
2,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,891.5,422.5,0.3226700603388042,0.3592059256532941,19213,0,0
2,exp,0,1,0.1,97.29030020420045,LR,full_data,0,1796,0.5872074115973118,0.3592059256532941,18300,0,0
2,exp,0.5,1,0.1,97.29030020420045,LR,full_data,1031.5,1964,0.5688586667551321,0.3592059256532941,18419,0,0
2,exp,0.5,0.25,0.05,97.29030020420045,LR,full_data,921.0,435.5,0.458922005954739,0.3592059256532941,18533,0,0
2,exp,0,1,0.05,97.29030020420045,LR,full_data,0,1724,0.3209717487542756,0.3592059256532941,18889,0,0
2,exp,0.5,1,0.05,97.29030020420045,LR,full_data,931.5,1757,0.32305125217366654,0.3592059256532941,18939,0,0
2,exp,0.5,0.25,0.01,97.29030020420045,LR,full_data,998.5,476.75,0.3195393442497005,0.3592059256532941,19723,0,0
2,exp,0,1,0.01,97.29030020420045,LR,full_data,0,1682,0.4300265447648737,0.3592059256532941,19079,0,0
2,exp,0.5,1,0.01,97.29030020420045,LR,full_data,1054.5,2007,0.3237702628250903,0.3592059256532941,18776,0,0
3,exp,0.5,0.25,0.25,97.29030020420045,LR,full_data,788.5,369.25,0.43961478714188673,0.40803562355071465,4261,1,1
3,exp,0,1,0.25,97.29030020420045,LR,full_data,0,1683,0.8820923870135426,0.40803562355071465,4492,1,0
3,exp,0.5,1,0.25,97.29030020420045,LR,full_data,965.0,1829,0.34210875666431195,0.40803562355071465,4484,1,1
3,exp,0.5,0.25,0.1,97.29030020420045,LR,full_data,928.5,437.5,0.4222306891548242,0.40803562355071465,18835,1,1
