run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,962.0,470.5,0.18796073567653038,0.0,2814,1,1
1,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,1565,0.1148748637086282,0.0,3175,1,1
1,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,810.5,1580,0.04519787299787836,0.0,3011,1,1
1,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,863.0,421.5,0.039403140717271024,0.0,7159,1,1
1,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,1684,0.14770652856711342,0.0,6855,1,1
1,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,905.5,1756,0.029160273371205303,0.0,7206,1,1
1,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,962.0,470.5,0.00838507392221799,0.0,17950,1,1
1,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,1533,0.10264698950367168,0.0,18231,1,0
1,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,862.0,1666,0.10708637453193526,0.0,17929,1,0
1,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,880.0,430.5,0.10474500471495718,0.0,18091,1,0
1,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,1678,0.07002428494217439,0.0,18114,1,0
1,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,862.5,1678,0.06986895943964266,0.0,17739,1,0
1,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,875.5,426.5,0.014485037057560657,0.0,17710,1,0
1,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,1772,0.1205267678357338,0.0,18018,1,0
1,exp,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,917.0,1791,0.20166316615054258,0.0,18271,1,0
2,exp,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,1089.5,531.75,0.1207146744971267,0.0,3368,1,1
2,exp,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,1695,0.007647308138177933,0.0,3187,1,1
2,exp,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,903.0,1755,0.04088158516858598,0.0,3313,1,1
2,exp,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,891.0,434.25,0.06452021799230268,0.0,6907,1,1
2,exp,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,1785,0.1690719784148068,0.0,6821,1,1
2,exp,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,981.5,1921,0.15856875858992636,0.0,6938,1,1
2,exp,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,785.5,381.0,0.14221115756816105,0.0,17794,1,0
2,exp,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,1615,0.007876960776093345,0.0,17692,1,1
2,exp,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,860.0,1691,0.09779137615047417,0.0,17296,1,0
2,exp,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,810.5,396.25,0.07892540571488271,0.0,17728,1,0
2,exp,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,1812,0.030143372728642426,0.0,17519,1,0
2,exp,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,957.5,1875,0.13301079680454075,0.0,18163,1,0
2,exp,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,937.0,457.75,0.04755113488061513,0.0,17887,1,0
2,exp,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,1697,0.0600324856854777,0.0,17749,1,0
