run,algo_name,sample_cost_fixed,label_cost_fixed,eps,thresh,tau_prime,f_0,policy,sample_cost,label_cost,eo_diff_est,eo_diff_true,num_samples,true_fair,pred_fair
1,two,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,2071.5,773.75,0.3738702958530628,0.3586523967440458,3158,1,1
1,two,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,3231,0.346909962036119,0.3586523967440458,3296,1,1
1,two,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,2092.0,3159,0.379258933521142,0.3586523967440458,3233,1,1
1,two,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,2088.5,1785.25,0.3562519818751111,0.3586523967440458,7298,1,1
1,two,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,7177,0.3708775607861604,0.3586523967440458,7332,1,1
1,two,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,2079.0,6622,0.362718728087396,0.3586523967440458,6789,1,1
1,two,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,2092.5,4572.25,0.37373201799047606,0.3586523967440458,18693,0,0
1,two,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,17650,0.35629120295455285,0.3586523967440458,18069,0,0
1,two,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,2097.5,18188,0.3685947783417529,0.3586523967440458,18617,0,0
1,two,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,2085.5,4551.0,0.3709329875588001,0.3586523967440458,18640,0,0
1,two,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,18159,0.3749434978569949,0.3586523967440458,18575,0,0
1,two,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,2085.5,18127,0.36496330423297096,0.3586523967440458,18539,0,0
1,two,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,2095.0,4478.75,0.3575933643186102,0.3586523967440458,18347,0,0
1,two,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,18421,0.36366559110507485,0.3586523967440458,18866,0,0
1,two,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,2098.5,17995,0.3663620780761154,0.3586523967440458,18418,0,0
2,two,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,2082.5,755.5,0.37203843415419063,0.34979429449794297,3080,1,1
2,two,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,3065,0.3714328494432229,0.34979429449794297,3132,1,1
2,two,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,2082.5,3066,0.35867713101516707,0.34979429449794297,3140,1,1
2,two,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,2097.5,1848.75,0.3503778015034932,0.34979429449794297,7575,1,1
2,two,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,7265,0.3605572869324001,0.34979429449794297,7432,1,1
2,two,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,2093.0,7157,0.3681497616977024,0.34979429449794297,7308,1,1
2,two,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,2101.0,4682.5,0.3557003245209392,0.34979429449794297,19121,0,0
2,two,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,18419,0.36887773612242347,0.34979429449794297,18846,0,0
2,two,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,2066.5,18464,0.36474034483033047,0.34979429449794297,18854,0,0
2,two,0.5,0.25,0.05,0.0,97.29030020420045,LR,full_data,2103.5,4477.0,0.3510839606091192,0.34979429449794297,18367,0,0
2,two,0,1,0.05,0.0,97.29030020420045,LR,full_data,0,18672,0.35340053106271224,0.34979429449794297,19083,0,0
2,two,0.5,1,0.05,0.0,97.29030020420045,LR,full_data,2069.0,18371,0.3650042406086541,0.34979429449794297,18810,0,0
2,two,0.5,0.25,0.01,0.0,97.29030020420045,LR,full_data,2071.0,4475.25,0.3535988309087495,0.34979429449794297,18298,0,0
2,two,0,1,0.01,0.0,97.29030020420045,LR,full_data,0,17993,0.3723770012712731,0.34979429449794297,18442,0,0
2,two,0.5,1,0.01,0.0,97.29030020420045,LR,full_data,2087.0,17991,0.3614058255367858,0.34979429449794297,18401,0,0
3,two,0.5,0.25,0.3,0.5,97.29030020420045,LR,full_data,2089.0,767.5,0.3522613504733839,0.3773503397606698,3139,1,1
3,two,0,1,0.3,0.5,97.29030020420045,LR,full_data,0,3077,0.36246858065588844,0.3773503397606698,3136,1,1
3,two,0.5,1,0.3,0.5,97.29030020420045,LR,full_data,2073.0,3388,0.37055051832318897,0.3773503397606698,3474,1,1
3,two,0.5,0.25,0.2,0.4,97.29030020420045,LR,full_data,2107.0,1777.5,0.35889134069860035,0.3773503397606698,7275,1,1
3,two,0,1,0.2,0.4,97.29030020420045,LR,full_data,0,7275,0.36082034408466096,0.3773503397606698,7417,1,1
3,two,0.5,1,0.2,0.4,97.29030020420045,LR,full_data,2090.5,7039,0.35120564420126377,0.3773503397606698,7194,1,1
3,two,0.5,0.25,0.1,0.0,97.29030020420045,LR,full_data,2086.5,4498.75,0.3772996287717741,0.3773503397606698,18390,0,0
3,two,0,1,0.1,0.0,97.29030020420045,LR,full_data,0,18052,0.36497370493252373,0.3773503397606698,18460,0,0
3,two,0.5,1,0.1,0.0,97.29030020420045,LR,full_data,2104.5,18426,0.3601100401782794,0.3773503397606698,18822,0,0
